公司全名,薪资,区域
广通软件,10k-20k,杭州·翠苑
阿里文娱,20k-40k,广州·员村
浦发卡中心,15k-25k,上海·浦东新…
道一云,10k-15k,广州·天河公…
尤达科技,10k-20k,广州·海珠区
诚智天扬,9k-15k,杭州·高新文…
卡友北分,12k-18k,北京·双井
淘集集,20k-30k,上海·静安区
博悦科创,10k-16k,上海·唐镇
浙江钱兔网络科技有限公司,13k-26k,杭州·萧山区
点购商城,15k-25k,广州·天园
华讯,10k-19k,福州·闽侯县
易佰网络科技,20k-30k,深圳·龙岗区
奇异果科技,15k-20k,广州·客村
优维科技,8k-13k,济南·历下区
懒人听书,12k-24k,深圳·大冲
GeexFinance,10k-20k,上海·杨浦区
道一云,10k-15k,梅州·梅江区
优维科技,15k-25k,北京·望京
网易,15k-30k,广州·冼村
广州绿森,10k-15k,广州·番禺区
海万科技,15k-20k,上海·静安区
维格英科技,8k-12k,武汉·杨园
斐珞尔,10k-15k,上海·徐家汇
炎龙科技,13k-20k,长沙·岳麓区
深圳米趣玩科技有限公司,10k-15k,深圳·深圳湾
51JOB,10k-20k,上海·张江
腾讯,18k-30k,深圳·南山区
脸脸,8k-10k,杭州·余杭区
云间网络,8k-12k,广州·广卫
蜂融网络,25k-50k,杭州·西溪
联元智能科技,15k-30k,上海·曹杨
道一云,10k-15k,北京·安定门
掌众集团,12k-18k,北京·海淀区
搜房宝,20k-40k,深圳·科技园
灵雀云,10k-20k,上海·静安区
税友软件,15k-25k,杭州·开发区
Majorsec,10k-18k,北京·和平里
中科祥云,8k-10k,上海·虹梅路
宅急送,10k-20k,北京·后沙峪
摘星者,12k-18k,广州·赤岗
暴雪奇迹,7k-13k,深圳·南山区
软帝联合,10k-15k,武汉·流芳
象盒科技,10k-16k,长沙·东塘
亚飞电子,15k-22k,深圳·坂田
微拍堂,15k-30k,杭州·西湖
RC PLATFORM,19k-30k,北京·八里庄
灵雀云,10k-20k,深圳·科技园
北京中交兴路车联网科技有限公司,15k-20k,北京·海淀区
魔方公寓,15k-20k,上海·闵行区
小怪兽,8k-15k,大连·凌水
湖南大简科技有限公司,9k-16k,长沙·天心区
南方银谷,10k-16k,上海·新天地
上海汇元通,10k-20k,上海·四平路
众游科技,15k-25k,深圳·南山区
健客网,15k-30k,广州·萝岗区
优品财富管理有限公司,7k-12k,武汉·流芳
瑞银信,15k-30k,北京·朝阳区
康策网络,10k-15k,杭州·仓前
巨人网络,15k-25k,上海·松江区
墨云科技,10k-20k,北京·上地
易铭,13k-18k,杭州·复兴
南方银谷,10k-16k,上海·黄浦区
生命奇点,13k-24k,北京·海淀区
麒讯,10k-20k,深圳·西丽
三优亲子,8k-15k,广州·小北
申通快递,12k-16k,上海·重固
金山办公软件,18k-25k,广州·员村
君海游戏,10k-18k,广州·海珠区
蓝色速度,15k-25k,深圳·福田区
一起秀信息科技,6k-10k,深圳·南油
上海你我贷互联网金融信息服务,15k-25k,上海·东方路
小i机器人,10k-15k,上海·江桥
北京八维研修学院,15k-25k,北京·上地
长沙微领地网络科技有限公司,10k-18k,长沙·麓谷
ZingFront智线,6k-10k,武汉·关山
厦门约约出行科技有限公司,10k-15k,厦门·思明区
动因体育,20k-30k,北京·朝阳区
尤达科技,15k-22k,广州·海珠区
湖北群艺,10k-12k,广州·天河区
兆威机电,12k-16k,深圳·宝安区
汉德森日用保健品（上海）有限公司,15k-25k,上海·南京东…
通力互联,8k-16k,深圳·大冲
哈啰出行,12k-24k,上海·闵行区
税友软件,12k-20k,杭州·滨江区
微友助手,12k-24k,武汉·关山
数云,10k-15k,西安·光华路
奇安信集团,15k-30k,北京·朝阳区
酷萌网络（LNI技术有限公司）,15k-25k,广州·岭南
快批KP,25k-33k,广州·琶洲
尤米科技,15k-25k,杭州·文二路
爱伙企业,10k-15k,广州·大石
酷萌网络（LNI技术有限公司）,15k-25k,上海·闵行区
哈啰出行,13k-26k,上海·闵行区
广西德拓电子有限公司,8k-15k,南宁·良庆区
掌数科技,15k-25k,上海·浦东新…
艾速科技,25k-30k,深圳·南山区
快批KP,20k-30k,广州·琶洲
陕西华兆信息科技有限公司,12k-20k,深圳·西丽
观眇生物科技,15k-25k,杭州·天目山…
上海中软华腾软件系统有限公司,12k-18k,深圳·振华路
学堂在线,10k-20k,北京·五道口
上海喔趣,10k-15k,无锡·新吴区
华云中盛,14k-25k,深圳·南山区
掌尊科技,12k-24k,杭州·古荡
紫讯科技,8k-15k,福州·鼓楼区
校宝在线,15k-30k,杭州·文一路
酷萌网络（LNI技术有限公司）,15k-25k,深圳·大冲
波德林智能科技,12k-20k,厦门·思明区
