公司全名,薪资,区域
溪流科技,12k-24k,北京·海淀区
海万科技,13k-18k,上海·陆家嘴
知乎,20k-30k,北京·五道口
路行通,8k-12k,成都·高新区
电声营销,12k-18k,广州·琶洲
郑州赛欧思科技有限公司,7k-12k,郑州·高新区
看看智能,10k-18k,上海·张江
聚微,15k-22k,北京·白石桥
任子行,9k-13k,武汉·鲁巷
玺望网络科技,15k-20k,深圳·田贝
火石创造,15k-25k,杭州·江南
达内集团,15k-25k,北京·大钟寺
创互科技,25k-30k,深圳·南油
安杰瑞电子科技,8k-15k,西安·高新技…
鲸派数科,12k-15k,上海·田林
奇鸣咨询,18k-25k,上海·四平路
中科育软,10k-20k,苏州·虎丘区
锐思科集团,10k-15k,重庆·渝北区
金证股份,15k-17k,北京·西城区
智融集团,20k-40k,北京·知春路
小步网络,15k-30k,深圳·西乡
深圳思力科,12k-20k,深圳·深圳湾
海万科技,10k-20k,深圳·购物公…
银橙传媒,20k-25k,上海·漕宝路
微赛网络,10k-15k,厦门·思明区
书沸科技,12k-24k,杭州·西湖区
闪送,10k-20k,北京·海淀区
学堂在线,15k-30k,北京·五道口
融360,15k-30k,北京·海淀区
元一九鼎,15k-25k,北京·望京
广州好邻居网络科技有限公司,20k-30k,广州·天河区
中科育软,10k-20k,苏州·虎丘区
锐思科集团,10k-15k,重庆·渝北区
金证股份,15k-17k,北京·西城区
智融集团,20k-40k,北京·知春路
小步网络,15k-30k,深圳·西乡
深圳思力科,12k-20k,深圳·深圳湾
海万科技,10k-20k,深圳·购物公…
银橙传媒,20k-25k,上海·漕宝路
微赛网络,10k-15k,厦门·思明区
书沸科技,12k-24k,杭州·西湖区
闪送,10k-20k,北京·海淀区
学堂在线,15k-30k,北京·五道口
融360,15k-30k,北京·海淀区
元一九鼎,15k-25k,北京·望京
广州好邻居网络科技有限公司,20k-30k,广州·天河区
深圳思力科,12k-20k,深圳·科技园
棣南新宇,15k-20k,北京·中关村
海万科技,10k-16k,上海·陆家嘴
链家,50k-80k,北京·西北旺
智融集团,25k-40k,北京·海淀区
融360,30k-50k,北京·中关村
达内集团,15k-25k,北京·大钟寺
威海新蓝,6k-10k,济南·高新区
点数科技,5k-10k,株洲·天元区
Fordeal,25k-50k,广州·琶洲
策炬网络,25k-50k,北京·朝外
瑞翼,15k-20k,苏州·独墅湖
阳光产险信保事业部,18k-36k,北京·朝外
Jcubing,9k-18k,杭州·北干
无声,10k-12k,成都·石羊
达内集团,15k-30k,北京·皂君庙
北京中铁信,18k-28k,北京·海淀区
币盈科技,20k-35k,北京·朝外
成都快师傅科技有限公司,15k-25k,成都·高新区
海万科技,8k-16k,上海·梅园
知乎,25k-40k,北京·五道口
上海哈杜科技有限公司,15k-25k,杭州·浦沿
AppNana,16k-20k,天津·和平路
北京理享家,15k-25k,北京·王府井
智通博瑞,18k-25k,北京·海淀区
深圳澳谷智能科技有限公司,18k-32k,深圳·上梅林
联想,30k-50k,北京·西北旺
