公司全名,薪资,区域
美团点评,20k-40k,北京·朝阳区
小米,25k-50k,北京·上地
蜻蜓FM,20k-40k,北京·朝阳区
佳讯飞鸿智能科技研究院,15k-23k,北京·北下关
ECVV,35k-70k,上海·张江
腾讯,20k-40k,北京·中关村
去哪儿网,30k-60k,北京·西三旗
华电科技,6k-10k,武汉·东湖新…
美团点评,30k-60k,北京·朝阳区
思必驰科技,30k-50k,北京·双榆树
广州市纽纶贸易有限公,50k-100k,深圳·洋泾
鸿程系统,15k-22k,杭州·开发区
酷狗音乐,25k-30k,广州·东圃
RealNetworks,20k-30k,北京·朝阳区
永银文化,30k-50k,南京·建邺区
字节跳动,30k-60k,北京·海淀区
新浪微博,30k-50k,北京·海淀区
北京眸视,24k-40k,北京·上地
成都沣正科技有限责任公司,30k-60k,北京·中关村
小米,30k-50k,北京·西三旗
去哪儿网,20k-40k,北京·中关村
小米,30k-50k,北京·上地
米奥兰特,20k-35k,杭州·西兴
爱可生,15k-30k,上海·徐汇区
九峰医疗,15k-30k,南京·梅园
暄和文化,40k-60k,北京·西北旺
深航动力,20k-35k,北京·丰台体…
字节跳动,30k-60k,上海·徐汇区
网易,25k-50k,杭州·长河
滴滴,25k-50k,北京·西北旺
益普索,30k-40k,上海·北京西…
东兴证券,15k-30k,北京·东直门
搜狗,20k-40k,北京·五道口
360,25k-50k,上海·北外滩
arvato China,10k-20k,上海·汶水路
滴滴,30k-45k,北京·海淀区
搜狗,30k-50k,北京·五道口
京东数字科技,25k-50k,北京·大兴区
薛家庄旅游开发,20k-40k,北京·望京
贝壳,30k-50k,北京·西二旗
成都大数据研究院,10k-20k,成都·高新区
豆盟,30k-50k,北京·定福庄
京东集团,30k-60k,北京·亚运村
佳讯飞鸿智能科技研究院,15k-25k,北京·北下关
寄云科技,20k-40k,北京·西二旗
云网拜特,20k-40k,深圳·大冲
傲华科技,35k-65k,北京·三元桥
长江证券股份有限公司,15k-20k,北京·望京
思必驰科技,25k-50k,苏州·工业园…
天弘基金,20k-35k,北京·南礼士…
搜狗,35k-60k,北京·五道口
滴滴,20k-30k,北京·西北旺
京东数字科技,20k-40k,北京·大兴区
小米,20k-40k,武汉·流芳
陌陌,25k-50k,北京·望京
澳昇,16k-30k,成都·高新区
虎牙信息,30k-50k,广州·大石
国研网,20k-35k,北京·东城区
三彩不动产,15k-30k,杭州·滨江区
雪浪数制,12k-18k,无锡·雪浪
泰康保险集团,20k-40k,北京·昌平区
掌门1对1在线教育,30k-60k,上海·四平路
高思教育集团,25k-50k,北京·学院路
永银文化,30k-50k,南京·建邺区
中科院广州软件所,10k-20k,广州·南沙区
滴滴,30k-50k,北京·海淀区
京东数字科技,25k-35k,北京·大兴区
泰康保险集团,20k-40k,北京·昌平区
国研网,20k-40k,北京·东城区
roobo,40k-80k,北京·朝阳门
太保资产,20k-30k,上海·陆家嘴
珠海云航智能技术有限公司,20k-30k,珠海·香洲区
北明智通,20k-35k,北京·朝阳区
思必驰科技,25k-50k,苏州·独墅湖
药明康德,20k-40k,上海·外高桥
奇虎360,25k-35k,北京·酒仙桥
腾讯,20k-40k,上海·田林
上海勤劝教育,30k-50k,深圳·上梅林
腾讯,28k-55k,深圳·南山区
掌门1对1在线教育,30k-60k,上海·四平路
